_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,X,Y,LONGITUDE,LATITUDE,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
5974,8417253,329,Geary Ave,329 Geary Ave,M6H 2C6,former TORONTO,Toronto,14630189,329,,,,3490,Davenport (909),,,,,1777412,190,8,No,No,,asphalt,Approved,back of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.442895411, 43.6685962542)}"
5975,8676866,33,Yonge St,33 Yonge St,M5E 1G4,former TORONTO,Toronto,8676863,33,,,,4733,Toronto Centre (1313),,,,,2689237,191,5,No,No,,pavers,Installed,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3765841655, 43.6475596554)}"
5976,10364794,416,Dawes Rd,416 Dawes Rd,M4B 2E8,EAST YORK,Toronto,10364790,416,,,,88,Beaches-East York (1919),,,,,2338623,192,8,No,No,,concrete,Installed,back of walk,S side of library,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.2972298271, 43.7012022929)}"
5977,3739887,475,Yonge St,475 Yonge St,M4Y 1X7,former TORONTO,Toronto,3739890,475,,,,4733,Toronto Centre (1313),,,,,2963240,193,5,No,No,,concrete,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3829914989, 43.6625423313)}"
5978,772833,481,Bloor St W,481 Bloor St W,M5S 1X9,former TORONTO,Toronto,1142870,481,,,,458,University-Rosedale (1111),,,,,1755303,194,8,No,No,,asphalt,Approved,boulevard,straight adjacent to current one,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4071172093, 43.6657537894)}"
5979,10223681,499,King St W,499 King St W,M5V 1K4,former TORONTO,Toronto,10223667,499,,,,3780,Spadina-Fort York (1010),,,,,2755281,195,8,No,No,,concrete,Approved,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3975069873, 43.6446284116)}"
5980,2854061,525,University Ave,525 University Ave,M5G 2L3,former TORONTO,Toronto,2854059,525,,,,4583,University-Rosedale (1111),,,,,2167439,196,8,No,No,,pavers,Proposed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3882199503, 43.6562495915)}"
5981,7792696,555,University Ave,555 University Ave,M5G 1X8,former TORONTO,Toronto,7792694,555,,,,4583,University-Rosedale (1111),,,,,1591293,197,8,No,No,,concrete,Proposed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.387434232, 43.6573635657)}"
5982,10180175,587,King St W,587 King St W,M5V 1M5,former TORONTO,Toronto,14674277,587,,,,3780,Spadina-Fort York (1010),,,,,2266439,198,8,No,No,,concrete,Approved,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4001853211, 43.6442360535)}"
5983,14206202,607,Bloor St W,607 Bloor St W,M6G 1K5,former TORONTO,Toronto,8353520,607,,,,458,University-Rosedale (1111),,,,,2210315,199,5,No,No,,concrete,Approved,front of walk,angled rack adjacent tree box,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.413270842, 43.6645203908)}"
